channel_width,1 backward,"1 forward, 1 backward",1 forward,other events with $\leq$ 6 spawned fronts,events with > 6 spawned fronts
2,3.298925539951638e-06,,,,
3,2.1050924143729186e-05,1.6318545847852082e-07,9.791127508711248e-07,,
4,4.197797224455825e-05,6.187504579400204e-06,9.705889536314045e-07,8.49265334427479e-07,
5,5.3625890258097834e-05,1.7531541045916598e-05,2.2917047118845225e-06,3.3229718322325576e-06,
6,5.4393056988684916e-05,3.04096204683576e-05,1.7212992717938263e-06,1.2163848187343039e-05,2.295065695725102e-07
7,4.095640879800458e-05,4.866449697066275e-05,3.336336671747565e-06,2.6460601189722066e-05,8.053226449045845e-07
8,3.2974435398309996e-05,5.813611258378e-05,2.52765706886e-06,4.262548966123e-05,6.8936101878e-06
9,2.657191159930476e-05,6.510693491431384e-05,3.220837769612698e-06,4.64720878186975e-05,1.0237662910554648e-05
10,2.0008400580587824e-05,7.459779407213379e-05,2.1974543990240964e-06,6.164437866736017e-05,2.3593720915837666e-05
12,1.541817388123266e-05,8.223026069990751e-05,4.555369555818739e-06,6.903136942279167e-05,4.0764717307198466e-05
14,1.9996685989427917e-05,8.688618532248505e-05,5.262285786691559e-06,7.706325185399415e-05,6.232885165125778e-05
16,2.4571110515159414e-05,0.00010085855840032103,4.680211526697031e-06,7.511739500348735e-05,8.202070700536547e-05
18,3.0161499671743592e-05,0.00010844056691319487,6.337435728693206e-06,8.755050099268762e-05,8.661162162547382e-05
20,3.9783445097942426e-05,0.0001159063952704233,5.3440448639027124e-06,9.203632821165784e-05,0.00010498079243755552
