channel_width,forward,backward,count,total_spawned,propensity
2,0.0,1.0,6,1.0,3.298925539951638e-06
3,0.0,1.0,129,1.0,2.1050924143729186e-05
3,1.0,0.0,6,1.0,9.791127508711248e-07
3,-1.0,1.0,1,0.0,1.6318545847852082e-07
3,1.0,1.0,1,2.0,1.6318545847852082e-07
4,0.0,1.0,346,1.0,4.197797224455825e-05
4,1.0,1.0,51,2.0,6.187504579400204e-06
4,1.0,0.0,8,1.0,9.705889536314045e-07
4,1.0,2.0,5,3.0,6.066180960196278e-07
4,-1.0,1.0,1,0.0,1.2132361920392557e-07
4,0.0,2.0,1,2.0,1.2132361920392557e-07
4,2.0,1.0,1,3.0,1.2132361920392557e-07
5,0.0,1.0,468,1.0,5.3625890258097834e-05
5,1.0,1.0,153,2.0,1.7531541045916598e-05
5,1.0,0.0,20,1.0,2.2917047118845225e-06
5,1.0,2.0,18,3.0,2.0625342406960703e-06
5,-1.0,1.0,4,0.0,4.5834094237690456e-07
5,0.0,2.0,3,2.0,3.437557067826784e-07
5,2.0,1.0,2,3.0,2.2917047118845228e-07
5,2.0,2.0,2,4.0,2.2917047118845228e-07
5,0.5,0.5,1,1.0,1.1458523559422614e-07
5,1.0,3.0,1,4.0,1.1458523559422614e-07
5,1.5,1.5,1,3.0,1.1458523559422614e-07
5,2.0,0.0,1,2.0,1.1458523559422614e-07
5,2.0,3.0,1,5.0,1.1458523559422614e-07
6,0.0,1.0,474,1.0,5.4393056988684916e-05
6,1.0,1.0,265,2.0,3.04096204683576e-05
6,1.0,2.0,60,3.0,6.885197087175305e-06
6,2.0,2.0,20,4.0,2.2950656957251017e-06
6,1.0,0.0,15,1.0,1.7212992717938263e-06
6,1.0,3.0,7,4.0,8.032729935037856e-07
6,0.0,2.0,6,2.0,6.885197087175306e-07
6,2.0,3.0,6,5.0,6.885197087175306e-07
6,2.0,1.0,3,3.0,3.442598543587653e-07
6,3.0,3.0,2,6.0,2.295065695725102e-07
6,2.0,4.0,1,6.0,1.147532847862551e-07
6,2.0,5.0,1,7.0,1.147532847862551e-07
6,-1.0,1.0,1,0.0,1.147532847862551e-07
6,1.5,1.5,1,3.0,1.147532847862551e-07
6,0.5,0.5,1,1.0,1.147532847862551e-07
6,3.0,4.0,1,7.0,1.147532847862551e-07
7,1.0,1.0,423,2.0,4.866449697066275e-05
7,0.0,1.0,356,1.0,4.095640879800458e-05
7,1.0,2.0,105,3.0,1.207983967356877e-05
7,2.0,2.0,45,4.0,5.177074145815187e-06
7,1.0,0.0,29,1.0,3.336336671747565e-06
7,3.0,3.0,13,6.0,1.4955991976799426e-06
7,2.0,3.0,11,5.0,1.2655070134214899e-06
7,1.0,3.0,10,4.0,1.1504609212922637e-06
7,0.0,2.0,9,2.0,1.0354148291630373e-06
7,3.0,2.0,9,5.0,1.0354148291630373e-06
7,2.0,1.0,8,3.0,9.203687370338109e-07
7,-1.0,2.0,7,1.0,8.053226449045845e-07
7,2.0,4.0,5,6.0,5.752304606461318e-07
7,1.5,1.5,3,3.0,3.451382763876791e-07
7,4.0,3.0,3,7.0,3.451382763876791e-07
7,3.0,4.0,2,7.0,2.3009218425845273e-07
7,2.0,0.0,2,2.0,2.3009218425845273e-07
7,4.0,2.0,1,6.0,1.1504609212922636e-07
7,3.0,5.0,1,8.0,1.1504609212922636e-07
7,-1.0,1.0,1,0.0,1.1504609212922636e-07
7,3.0,1.0,1,4.0,1.1504609212922636e-07
7,0.5,0.5,1,1.0,1.1504609212922636e-07
7,0.0,3.0,1,3.0,1.1504609212922636e-07
7,5.0,4.0,1,9.0,1.1504609212922636e-07
8,1.0,1.0,506,2.0,5.813611258378e-05
8,0.0,1.0,287,1.0,3.2974435398309996e-05
8,1.0,2.0,145,3.0,1.665955795385e-05
8,2.0,2.0,86,4.0,9.880841269179999e-06
8,2.0,3.0,38,5.0,4.36595311894e-06
8,3.0,3.0,26,6.0,2.9872310813799997e-06
8,1.0,0.0,22,1.0,2.52765706886e-06
8,2.0,1.0,18,3.0,2.0680830563399995e-06
8,3.0,4.0,14,7.0,1.6085090438200001e-06
8,1.0,3.0,12,4.0,1.3787220375599998e-06
8,4.0,3.0,10,7.0,1.1489350313e-06
8,0.0,2.0,10,2.0,1.1489350313e-06
8,2.0,4.0,8,6.0,9.191480250399999e-07
8,5.0,4.0,6,9.0,6.893610187799999e-07
8,3.0,2.0,6,5.0,6.893610187799999e-07
8,4.0,5.0,5,9.0,5.7446751565e-07
8,-1.0,2.0,4,1.0,4.5957401251999996e-07
8,4.0,4.0,4,8.0,4.5957401251999996e-07
8,2.0,0.0,4,2.0,4.5957401251999996e-07
8,3.0,0.0,3,3.0,3.4468050938999994e-07
8,1.5,1.5,3,3.0,3.4468050938999994e-07
8,0.5,0.5,3,1.0,3.4468050938999994e-07
8,3.0,5.0,3,8.0,3.4468050938999994e-07
8,4.0,6.0,2,10.0,2.2978700625999998e-07
8,4.0,7.0,2,11.0,2.2978700625999998e-07
8,5.0,2.0,2,7.0,2.2978700625999998e-07
8,2.0,5.0,2,7.0,2.2978700625999998e-07
8,5.0,5.0,2,10.0,2.2978700625999998e-07
8,5.0,8.0,2,13.0,2.2978700625999998e-07
8,3.0,6.0,2,9.0,2.2978700625999998e-07
8,1.0,4.0,2,5.0,2.2978700625999998e-07
8,0.0,3.0,2,3.0,2.2978700625999998e-07
8,5.0,6.0,1,11.0,1.1489350312999999e-07
8,6.0,5.0,1,11.0,1.1489350312999999e-07
8,-1.0,1.0,1,0.0,1.1489350312999999e-07
8,3.0,1.0,1,4.0,1.1489350312999999e-07
8,5.0,3.0,1,8.0,1.1489350312999999e-07
8,4.0,2.0,1,6.0,1.1489350312999999e-07
8,4.0,0.0,1,4.0,1.1489350312999999e-07
8,2.5,2.5,1,5.0,1.1489350312999999e-07
8,7.0,5.0,1,12.0,1.1489350312999999e-07
