channel_width,channel_length,l,l_spawning,l_failure
1,300,0.13851438702766594,0.0,0.13851438702766594
2,300,0.016343976766767063,3.2989255399516376e-06,0.01634067784122711
3,300,0.0026757519626723057,2.235640781155735e-05,0.0026533955548607483
4,300,0.0005291987173179345,5.010665473122126e-05,0.0004790920625867132
5,300,0.0001679426883580072,7.734503402610264e-05,9.059765433190456e-05
6,300,0.00011752416959418315,9.914683805532439e-05,1.8377331538858755e-05
7,300,0.00012737846936036935,0.00012045325845931541,6.925210901053948e-06
8,300,0.00014817252931418668,0.00014361687891252067,4.555650401666001e-06
9,300,0.00015515070095603633,0.00015218458461422975,2.966116341806577e-06
10,300,0.00018548004927357656,0.00018238871511901694,3.0913341545596092e-06
12,300,0.00021707927258771953,0.00021316793434289575,3.9113382448237755e-06
14,300,0.00025836718186285514,0.0002521219590246304,6.245222838224788e-06
16,300,0.00029260043050408335,0.0002877160036037767,4.884426900306638e-06
18,300,0.00032622879512831667,0.0003195710646154939,6.657730512822789e-06
20,300,0.00036663049668394864,0.0003588823017492254,7.748194934723217e-06
