interval,successful transmission,immediate failure,propagation failure,1 backward front spawning,other front spawning events,annihilation by backward front
40,0.008333333333333333,0.959,0.003,0.026333333333333334,0.0026666666666666666,0.0006666666666666666
45,0.033,0.8936666666666667,0.010333333333333333,0.051333333333333335,0.011333333333333334,0.0003333333333333333
50,0.05733333333333333,0.8083333333333333,0.024,0.08966666666666667,0.019666666666666666,0.001
55,0.11766666666666667,0.6516666666666666,0.057,0.13666666666666666,0.035,0.002
60,0.184,0.49233333333333335,0.08166666666666667,0.173,0.06633333333333333,0.0026666666666666666
65,0.29533333333333334,0.333,0.10166666666666667,0.19666666666666666,0.07066666666666667,0.0026666666666666666
70,0.38533333333333336,0.20233333333333334,0.10933333333333334,0.20266666666666666,0.09733333333333333,0.003
75,0.4656666666666667,0.13966666666666666,0.11566666666666667,0.191,0.087,0.001
80,0.5666666666666667,0.07666666666666666,0.106,0.16166666666666665,0.08666666666666667,0.0023333333333333335
85,0.663,0.04033333333333333,0.09066666666666667,0.131,0.07166666666666667,0.0033333333333333335
90,0.7053333333333334,0.025333333333333333,0.082,0.11866666666666667,0.064,0.004666666666666667
95,0.7726666666666666,0.010666666666666666,0.057,0.097,0.05633333333333333,0.006333333333333333
100,0.8373333333333334,0.006,0.041666666666666664,0.065,0.04666666666666667,0.0033333333333333335
110,0.875,0.005,0.022,0.05566666666666667,0.036333333333333336,0.006
120,0.922,0.0023333333333333335,0.015666666666666666,0.034666666666666665,0.02,0.005333333333333333
150,0.9626666666666667,0.001,0.0033333333333333335,0.015666666666666666,0.010333333333333333,0.007
200,0.9843333333333333,0.0006666666666666666,0.0016666666666666668,0.004666666666666667,0.004333333333333333,0.004333333333333333
300,0.984,0.001,0.0016666666666666668,0.005,0.006,0.0023333333333333335
