interval,successful transmission,initiation failure,propagation failure,1 backward front spawning,other front spawning events,annihilation by backward front
40,0.009,0.96,0.0036666666666666666,0.025,0.002,0.0003333333333333333
45,0.031,0.8976666666666666,0.009666666666666667,0.052,0.009333333333333334,0.0003333333333333333
50,0.07266666666666667,0.8086666666666666,0.020666666666666667,0.08766666666666667,0.01,0.0003333333333333333
55,0.14366666666666666,0.6606666666666666,0.042,0.12333333333333334,0.029666666666666668,0.0006666666666666666
60,0.24466666666666667,0.49133333333333334,0.06633333333333333,0.15866666666666668,0.038,0.001
65,0.37033333333333335,0.3406666666666667,0.07366666666666667,0.16566666666666666,0.048666666666666664,0.001
70,0.4866666666666667,0.21933333333333332,0.07866666666666666,0.161,0.05333333333333334,0.001
75,0.5916666666666667,0.15066666666666667,0.07733333333333334,0.134,0.046,0.0003333333333333333
80,0.6903333333333334,0.08,0.07033333333333333,0.11233333333333333,0.04533333333333334,0.0016666666666666668
85,0.7823333333333333,0.05566666666666667,0.043,0.078,0.03966666666666667,0.0013333333333333333
90,0.837,0.030666666666666665,0.03,0.062,0.03866666666666667,0.0016666666666666668
95,0.885,0.019666666666666666,0.022,0.04666666666666667,0.026333333333333334,0.0003333333333333333
100,0.9333333333333333,0.011,0.01633333333333333,0.025,0.014,0.0003333333333333333
110,0.964,0.004333333333333333,0.009,0.012666666666666666,0.009,0.001
120,0.9773333333333334,0.004,0.0033333333333333335,0.006,0.009,0.0003333333333333333
150,0.992,0.001,0.002,0.0026666666666666666,0.0013333333333333333,0.001
200,0.9943333333333333,0.0026666666666666666,0.0013333333333333333,0.0016666666666666668,0.0,0.0
300,0.9976666666666667,0.0003333333333333333,0.0006666666666666666,0.0,0.0013333333333333333,0.0
