channel_width,channel_length,interval,end,n_simulations,n_pulses,n_fronts_received
6,30,30,0,30,500,3689
6,30,40,0,30,500,4979
6,30,50,0,30,500,6283
6,30,60,0,30,500,7128
6,30,70,0,30,500,8184
6,30,80,0,30,500,9649
6,30,90,0,30,500,11639
6,30,100,0,30,500,13477
6,30,110,0,30,500,14440
6,30,120,0,30,500,14803
6,30,130,0,30,500,14902
6,30,140,0,30,500,14966
6,30,150,0,30,500,14990
6,30,160,0,30,500,15009
6,30,180,0,30,500,15001
6,30,200,0,30,500,15015
6,30,250,0,30,500,15041
6,30,300,0,30,500,15036
6,100,30,0,30,500,3086
6,100,40,0,30,500,4167
6,100,50,0,30,500,5275
6,100,60,0,30,500,6211
6,100,70,0,30,500,7053
6,100,80,0,30,500,8044
6,100,90,0,30,500,9164
6,100,100,0,30,500,10751
6,100,110,0,30,500,12543
6,100,120,0,30,500,13789
6,100,130,0,30,500,14382
6,100,140,0,30,500,14671
6,100,150,0,30,500,14764
6,100,160,0,30,500,14838
6,100,180,0,30,500,14885
6,100,200,0,30,500,14907
6,100,250,0,30,500,14953
6,100,300,0,30,500,14950
6,300,30,0,30,500,2672
6,300,40,0,30,500,3554
6,300,50,0,30,500,4405
6,300,60,0,30,500,5362
6,300,70,0,30,500,6123
6,300,80,0,30,500,6889
6,300,90,0,30,500,7834
6,300,100,0,30,500,8887
6,300,110,0,30,500,10060
6,300,120,0,30,500,11519
6,300,130,0,30,500,12686
6,300,140,0,30,500,13579
6,300,150,0,30,500,13974
6,300,160,0,30,500,14232
6,300,180,0,30,500,14496
6,300,200,0,30,500,14588
6,300,250,0,30,500,14682
6,300,300,0,30,500,14704
6,1000,30,0,30,500,2153
6,1000,40,0,30,500,2875
6,1000,50,0,30,500,3453
6,1000,60,0,30,500,4254
6,1000,70,0,30,500,5005
6,1000,80,0,30,500,5588
6,1000,90,0,30,500,6338
6,1000,100,0,30,500,7084
6,1000,110,0,30,500,7904
6,1000,120,0,30,500,8816
6,1000,130,0,30,500,9774
6,1000,140,0,30,500,10651
6,1000,150,0,30,500,11501
6,1000,160,0,30,500,12233
6,1000,180,0,30,500,12789
6,1000,200,0,30,500,13284
6,1000,250,0,30,500,13547
6,1000,300,0,30,500,13684
