channel_width,channel_length,interval,end,n_simulations,n_pulses,n_fronts_received
6,1000,30,2,30,500,15031
6,1000,30,10,30,500,4928
6,1000,30,20,30,500,4077
6,1000,30,30,30,500,3793
6,1000,30,40,30,500,3606
6,1000,30,50,30,500,3488
6,1000,30,60,30,500,3403
6,1000,30,70,30,500,3355
6,1000,30,80,30,500,3272
6,1000,30,90,30,500,3219
6,1000,30,100,30,500,3154
6,1000,30,110,30,500,3115
6,1000,30,120,30,500,3087
6,1000,30,130,30,500,3043
6,1000,30,140,30,500,3017
6,1000,30,150,30,500,2989
6,1000,30,160,30,500,2968
6,1000,30,170,30,500,2944
6,1000,30,180,30,500,2922
6,1000,30,190,30,500,2895
6,1000,30,200,30,500,2882
6,1000,30,210,30,500,2862
6,1000,30,220,30,500,2853
6,1000,30,230,30,500,2813
6,1000,30,240,30,500,2809
6,1000,30,250,30,500,2795
6,1000,30,260,30,500,2770
6,1000,30,270,30,500,2752
6,1000,30,280,30,500,2737
6,1000,30,290,30,500,2733
6,1000,30,300,30,500,2706
6,1000,30,310,30,500,2694
6,1000,30,320,30,500,2684
6,1000,30,330,30,500,2670
6,1000,30,340,30,500,2654
6,1000,30,350,30,500,2633
6,1000,30,360,30,500,2614
6,1000,30,370,30,500,2609
6,1000,30,380,30,500,2598
6,1000,30,390,30,500,2592
6,1000,30,400,30,500,2582
6,1000,30,410,30,500,2570
6,1000,30,420,30,500,2567
6,1000,30,430,30,500,2547
6,1000,30,440,30,500,2547
6,1000,30,450,30,500,2532
6,1000,30,460,30,500,2523
6,1000,30,470,30,500,2515
6,1000,30,480,30,500,2519
6,1000,30,490,30,500,2512
6,1000,30,500,30,500,2505
6,1000,30,510,30,500,2493
6,1000,30,520,30,500,2489
6,1000,30,530,30,500,2474
6,1000,30,540,30,500,2474
6,1000,30,550,30,500,2456
6,1000,30,560,30,500,2448
6,1000,30,570,30,500,2440
6,1000,30,580,30,500,2433
6,1000,30,590,30,500,2433
6,1000,30,600,30,500,2417
6,1000,30,610,30,500,2406
6,1000,30,620,30,500,2395
6,1000,30,630,30,500,2385
6,1000,30,640,30,500,2389
6,1000,30,650,30,500,2374
6,1000,30,660,30,500,2371
6,1000,30,670,30,500,2364
6,1000,30,680,30,500,2362
6,1000,30,690,30,500,2350
6,1000,30,700,30,500,2344
6,1000,30,710,30,500,2339
6,1000,30,720,30,500,2331
6,1000,30,730,30,500,2323
6,1000,30,740,30,500,2323
6,1000,30,750,30,500,2310
6,1000,30,760,30,500,2309
6,1000,30,770,30,500,2309
6,1000,30,780,30,500,2300
6,1000,30,790,30,500,2300
6,1000,30,800,30,500,2287
6,1000,30,810,30,500,2285
6,1000,30,820,30,500,2277
6,1000,30,830,30,500,2273
6,1000,30,840,30,500,2258
6,1000,30,850,30,500,2253
6,1000,30,860,30,500,2245
6,1000,30,870,30,500,2237
6,1000,30,880,30,500,2244
6,1000,30,890,30,500,2229
6,1000,30,900,30,500,2230
6,1000,30,910,30,500,2220
6,1000,30,920,30,500,2215
6,1000,30,930,30,500,2210
6,1000,30,940,30,500,2199
6,1000,30,950,30,500,2196
6,1000,30,960,30,500,2186
6,1000,30,970,30,500,2179
6,1000,30,980,30,500,2175
6,1000,30,990,30,500,2169
6,1000,30,1000,30,500,2153
6,1000,40,2,30,500,15032
6,1000,40,10,30,500,6591
6,1000,40,20,30,500,5582
6,1000,40,30,30,500,5148
6,1000,40,40,30,500,4878
6,1000,40,50,30,500,4690
6,1000,40,60,30,500,4536
6,1000,40,70,30,500,4432
6,1000,40,80,30,500,4349
6,1000,40,90,30,500,4263
6,1000,40,100,30,500,4204
6,1000,40,110,30,500,4141
6,1000,40,120,30,500,4081
6,1000,40,130,30,500,4056
6,1000,40,140,30,500,3999
6,1000,40,150,30,500,3956
6,1000,40,160,30,500,3925
6,1000,40,170,30,500,3898
6,1000,40,180,30,500,3866
6,1000,40,190,30,500,3832
6,1000,40,200,30,500,3797
6,1000,40,210,30,500,3778
6,1000,40,220,30,500,3747
6,1000,40,230,30,500,3736
6,1000,40,240,30,500,3702
6,1000,40,250,30,500,3688
6,1000,40,260,30,500,3655
6,1000,40,270,30,500,3633
6,1000,40,280,30,500,3625
6,1000,40,290,30,500,3606
6,1000,40,300,30,500,3588
6,1000,40,310,30,500,3570
6,1000,40,320,30,500,3557
6,1000,40,330,30,500,3536
6,1000,40,340,30,500,3525
6,1000,40,350,30,500,3503
6,1000,40,360,30,500,3479
6,1000,40,370,30,500,3471
6,1000,40,380,30,500,3445
6,1000,40,390,30,500,3440
6,1000,40,400,30,500,3429
6,1000,40,410,30,500,3416
6,1000,40,420,30,500,3392
6,1000,40,430,30,500,3384
6,1000,40,440,30,500,3372
6,1000,40,450,30,500,3361
6,1000,40,460,30,500,3345
6,1000,40,470,30,500,3333
6,1000,40,480,30,500,3320
6,1000,40,490,30,500,3313
6,1000,40,500,30,500,3299
6,1000,40,510,30,500,3287
6,1000,40,520,30,500,3276
6,1000,40,530,30,500,3272
6,1000,40,540,30,500,3259
6,1000,40,550,30,500,3238
6,1000,40,560,30,500,3236
6,1000,40,570,30,500,3219
6,1000,40,580,30,500,3210
6,1000,40,590,30,500,3198
6,1000,40,600,30,500,3190
6,1000,40,610,30,500,3184
6,1000,40,620,30,500,3178
6,1000,40,630,30,500,3168
6,1000,40,640,30,500,3168
6,1000,40,650,30,500,3152
6,1000,40,660,30,500,3149
6,1000,40,670,30,500,3136
6,1000,40,680,30,500,3120
6,1000,40,690,30,500,3112
6,1000,40,700,30,500,3103
6,1000,40,710,30,500,3090
6,1000,40,720,30,500,3090
6,1000,40,730,30,500,3090
6,1000,40,740,30,500,3075
6,1000,40,750,30,500,3062
6,1000,40,760,30,500,3057
6,1000,40,770,30,500,3046
6,1000,40,780,30,500,3035
6,1000,40,790,30,500,3030
6,1000,40,800,30,500,3022
6,1000,40,810,30,500,3024
6,1000,40,820,30,500,3015
6,1000,40,830,30,500,3013
6,1000,40,840,30,500,3007
6,1000,40,850,30,500,2999
6,1000,40,860,30,500,2991
6,1000,40,870,30,500,2994
6,1000,40,880,30,500,2973
6,1000,40,890,30,500,2970
6,1000,40,900,30,500,2949
6,1000,40,910,30,500,2957
6,1000,40,920,30,500,2945
6,1000,40,930,30,500,2934
6,1000,40,940,30,500,2925
6,1000,40,950,30,500,2918
6,1000,40,960,30,500,2909
6,1000,40,970,30,500,2902
6,1000,40,980,30,500,2900
6,1000,40,990,30,500,2885
6,1000,40,1000,30,500,2875
6,1000,50,2,30,500,15029
6,1000,50,10,30,500,7682
6,1000,50,20,30,500,6822
6,1000,50,30,30,500,6477
6,1000,50,40,30,500,6227
6,1000,50,50,30,500,6028
6,1000,50,60,30,500,5858
6,1000,50,70,30,500,5692
6,1000,50,80,30,500,5553
6,1000,50,90,30,500,5471
6,1000,50,100,30,500,5360
6,1000,50,110,30,500,5288
6,1000,50,120,30,500,5187
6,1000,50,130,30,500,5127
6,1000,50,140,30,500,5073
6,1000,50,150,30,500,5015
6,1000,50,160,30,500,4962
6,1000,50,170,30,500,4908
6,1000,50,180,30,500,4851
6,1000,50,190,30,500,4795
6,1000,50,200,30,500,4772
6,1000,50,210,30,500,4743
6,1000,50,220,30,500,4696
6,1000,50,230,30,500,4659
6,1000,50,240,30,500,4625
6,1000,50,250,30,500,4594
6,1000,50,260,30,500,4576
6,1000,50,270,30,500,4544
6,1000,50,280,30,500,4526
6,1000,50,290,30,500,4491
6,1000,50,300,30,500,4469
6,1000,50,310,30,500,4434
6,1000,50,320,30,500,4417
6,1000,50,330,30,500,4394
6,1000,50,340,30,500,4379
6,1000,50,350,30,500,4356
6,1000,50,360,30,500,4329
6,1000,50,370,30,500,4300
6,1000,50,380,30,500,4288
6,1000,50,390,30,500,4268
6,1000,50,400,30,500,4243
6,1000,50,410,30,500,4234
6,1000,50,420,30,500,4201
6,1000,50,430,30,500,4189
