altered_parameter,fold_change,a_spawning,b_spawning,a_failure,b_failure
e_forward_rate,0.7,0.0002664504861188618,-6.596770727477835e-05,-1.8676140509618864,-0.1488056472152186
e_forward_rate,0.9,4.241124160959464e-05,-1.7875933858138918e-05,-1.8398106097144915,-0.1755388041503414
e_forward_rate,1.0,1.8685024325285477e-05,-1.191349879758904e-05,-1.8459684296995023,-0.15659893382642665
e_forward_rate,1.1,8.62262220793989e-06,-1.1199622106324367e-05,-1.7980159878922968,-0.25833901712900875
e_forward_rate,1.3,1.950612907513009e-06,-3.973742009142715e-06,-1.7769277473013387,-0.283601180469649
i_forward_rate,0.7,1.7535990301011337e-05,-1.1970950956530517e-05,-2.430451872788292,-0.14383579786799672
i_forward_rate,0.9,1.5172398241190679e-05,-8.56873181538927e-06,-1.9981122681224361,-0.18330166389094238
i_forward_rate,1.0,1.8685024325285477e-05,-1.191349879758904e-05,-1.8459684296995023,-0.15659893382642665
i_forward_rate,1.1,2.478032941963334e-05,-1.876518080860736e-05,-1.6512619380392808,-0.2622496153417293
i_forward_rate,1.3,4.739808054519398e-05,-3.91056889756967e-05,-1.4282243639686985,-0.20610419356241572
r_forward_rate,0.6666666666666666,1.4384532677893565e-07,-1.234139920238392e-08,-1.7870816584679394,-0.29187333248823144
r_forward_rate,0.9,7.021646532446966e-06,-1.1995686893894855e-05,-1.7813718763865167,-0.2895443458901745
r_forward_rate,1.0,1.8685024325285477e-05,-1.191349879758904e-05,-1.8459684296995023,-0.15659893382642665
r_forward_rate,1.1,4.733048191041677e-05,-3.195051917479115e-05,-1.832490802820431,-0.1866918540123077
r_forward_rate,1.3,0.00019688569955177994,-0.00011141194716861292,-1.8916876612437208,-0.08893786236618162
c_rate,0.7,0.00010714413162091983,-0.00011197892946758297,-1.3092554177782947,-0.16935809911487798
c_rate,0.9,2.932633166646915e-05,-1.797763487186837e-05,-1.6429427848576768,-0.2520928385756456
c_rate,1.0,1.8685024325285477e-05,-1.191349879758904e-05,-1.8459684296995023,-0.15659893382642665
c_rate,1.1,1.2878680700791961e-05,-9.714951094579391e-06,-1.9917654897323551,-0.1640626205540352
c_rate,1.3,7.402985743172016e-06,-3.5369772736571013e-06,-2.2249345336849737,-0.22772166069040356
