channel_width,channel_length,velocity
1,30,0.23016440314510367
2,30,0.2524490680537495
2,300,0.2526762056173821
3,30,0.2624897611206767
3,300,0.261445604632737
4,30,0.26899207248018114
4,300,0.26892108883150934
5,30,0.27219949347360217
5,300,0.2732610357422589
6,30,0.2751585675653528
6,300,0.2766786001996871
7,30,0.27705399254592833
7,300,0.2787955814044264
8,30,0.27869940278699407
8,300,0.28057911500201715
9,30,0.2790141500033216
9,300,0.28181601746958984
10,30,0.2797528849516261
10,300,0.2827583807496576
12,30,0.2807252067841925
12,300,0.28443482894935695
14,30,0.2801213859339047
14,300,0.28528485405477855
16,30,0.2807627387736685
16,300,0.28617569715312796
18,30,0.2802756043442719
18,300,0.28671582100466
20,30,0.2804393549894835
20,300,0.28709101973509915
