channel_width,channel_length,l,l_spawning,l_failure
2,300,0.40656466410982667,0.0,0.40656466410982667
3,300,0.04505198594885057,7.509164935804148e-06,0.045044476783914766
4,300,0.008725667687194119,0.00010205274515565414,0.008623614942038465
5,300,0.0020693916405393853,0.00027992712598804754,0.001789464514551338
6,300,0.0008149971531609458,0.00040900550506089376,0.000405991648100052
7,300,0.0005599169160226231,0.00046968187187639785,9.02350441462253e-05
8,300,0.0005111089083198546,0.0004849474286265631,2.6161479693291452e-05
9,300,0.0005135125796184457,0.000501514622150725,1.1997957467720694e-05
10,300,0.0005186094829767248,0.0005086431511667993,9.966331809925482e-06
11,300,0.0005396947667420923,0.0005288623561696596,1.0832410572432718e-05
13,300,0.0005774121076328099,0.0005653171745026715,1.2094933130138457e-05
15,300,0.0005738406943798654,0.0005611531237523889,1.2687570627476495e-05
17,300,0.0006336253005607706,0.0006175409660080741,1.6084334552696483e-05
19,300,0.0006743260420398608,0.0006546950073370992,1.9631034702761595e-05
21,300,0.000719949419760484,0.0006933074676158438,2.6641952144640148e-05
