channel_width,channel_length,l,l_spawning,l_failure
1,300,0.13827497361252586,0.0,0.13827497361252586
2,300,0.016367337811056534,3.304863768007377e-06,0.016364032947288526
3,300,0.002678152752180336,2.2205009711426306e-05,0.00265594774246891
4,300,0.0005338897968318511,4.990866593290053e-05,0.00048398113089895056
5,300,0.00017289219599846045,7.62692425469399e-05,9.662295345152055e-05
6,300,0.00012194579157579397,9.719329384439446e-05,2.4752497731399522e-05
7,300,0.00012882090171907238,0.00011781153831224417,1.1009363406828212e-05
8,300,0.00015051419040272793,0.000140950505082131,9.563685320596933e-06
9,300,0.00016057412548685436,0.00014871353667248444,1.1860588814369925e-05
10,300,0.00019046882114680087,0.00017833559095355514,1.2133230193245728e-05
12,300,0.00022178567708327346,0.00020787377095207797,1.3911906131195483e-05
14,300,0.00025627841680483904,0.0002446083897095781,1.167002709526093e-05
16,300,0.00029318312627105576,0.00027935482978819583,1.3828296482859943e-05
18,300,0.0003190230060362511,0.00030642999264008324,1.2593013396167804e-05
20,300,0.0003539842918152293,0.0003427355357694623,1.124875604576697e-05
